marque,nom,nb_plis,poids_g,epaisseur_mm,composition,pli1,pli2,pli3,pli4,pli5,pli6,pli7
Xiom,Hayabusa ZXi,7,87,5.7,Koto-Zephylium Carbone-Ayous-Kiri-Ayous-Zephylium Carbone-Koto,Koto,Zephylium Carbone,Ayous,Kiri,Ayous,Zephylium Carbone,Koto
Xiom,Hayabusa Zi,7,85,5.7,Koto-Limba-Zephylium Carbone-Ayous-Zephylium Carbone-Limba-Koto,Koto,Limba,Zephylium Carbone,Ayous,Zephylium Carbone,Limba,Koto
Xiom,Hugo Calderano HAL,7,85,5.8,Koto-Axylium-Limba-Kiri-Limba-Axylium-Koto,Koto,Axylium,Limba,Kiri,Limba,Axylium,Koto
Xiom,Ice Cream AZX,7,88,5.7,Koto-Axylium Carbone-Limba-Kiri-Limba-Zephylium Carbone-Koto,Koto,Axylium Carbone,Limba,Kiri,Limba,Zephylium Carbone,Koto
Xiom,Feel AX,7,85,5.9,Koto-Ayous-Aramide Carbone-Kiri-Aramide Carbone-Ayous-Koto,Koto,Ayous,Aramide Carbone,Kiri,Aramide Carbone,Ayous,Koto
Xiom,Ignito,5,84,6.2,Hinoki-Energy Zeta Carbone-Kiri-Energy Zeta Carbone-Hinoki,Hinoki,Energy Zeta Carbone,Kiri,Energy Zeta Carbone,Hinoki,,
Xiom,Offensive S,5,87,6.1,Limba-Limba-Ayous-Limba-Limba,Limba,Limba,Ayous,Limba,Limba,,
Xiom,Zetro Quad,9,92,7.0,Hinoki-Zephylium-Limba-Carbone-Kiri-Carbone-Limba,Hinoki,Zephylium,Limba,Carbone,Kiri,Carbone,Limba
Xiom,Control OFF,5,90,7.5,Hinoki-Aramide Carbone-Kiri-Aramide Carbone-Hinoki,Hinoki,Aramide Carbone,Kiri,Aramide Carbone,Hinoki,,
Xiom,Feel HX,5,88,6.5,Hinoki-Aramide Carbone-Kiri-Aramide Carbone-Hinoki,Hinoki,Aramide Carbone,Kiri,Aramide Carbone,Hinoki,,
Yasaka,Sweden Extra,5,83,5.8,Aniégré-Limba-Ayous-Limba-Aniégré,Aniégré,Limba,Ayous,Limba,Aniégré,,
Yasaka,Sweden Classic,5,82,5.4,Limba-Limba-Ayous-Limba-Limba,Limba,Limba,Ayous,Limba,Limba,,
Yasaka,Ma Lin Carbon,7,85,5.5,Limba-Ayous-Carbone-Ayous-Carbone-Ayous-Limba,Limba,Ayous,Carbone,Ayous,Carbone,Ayous,Limba
Yasaka,Ma Lin Soft Carbon,7,86,5.7,Aniégré-Limba-Carbone-Ayous-Carbone-Limba-Aniégré,Aniégré,Limba,Carbone,Ayous,Carbone,Limba,Aniégré
Yasaka,Atlético Balance,7,87,5.8,Hinoki-Ayous-ALC-Ayous-ALC-Ayous-Hinoki,Hinoki,Ayous,ALC,Ayous,ALC,Ayous,Hinoki
Yasaka,Extra Offensive,5,90,0,Noyer-Epicéa-Ayous-Epicéa-Noyer,Noyer,Epicéa,Ayous,Epicéa,Noyer,,
Yasaka,Extra Offensive 7 Power,7,88,5.7,Noyer-Epicéa-Carbone-Kiri-Carbone-Epicéa-Noyer,Noyer,Epicéa,Carbone,Kiri,Carbone,Epicéa,Noyer
Yasaka,Hinoki Leo 7,7,85,6.8,Hinoki-Hinoki-Hinoki-Hinoki-Hinoki-Hinoki-Hinoki,Hinoki,Hinoki,Hinoki,Hinoki,Hinoki,Hinoki,Hinoki
Yasaka,Galaxya,7,89,6.1,Limba-Ayous-Ayous-Ayous-Ayous-Ayous-Limba,Limba,Ayous,Ayous,Ayous,Ayous,Ayous,Limba
Darker,7P-2A.DF,7,82,6.5,Hinoki-Hinoki-Hinoki-Hinoki-Hinoki-Hinoki-Hinoki,Hinoki,Hinoki,Hinoki,Hinoki,Hinoki,Hinoki,Hinoki
Darker,7P-2A.7T,7,84,7.0,Hinoki-Hinoki-Hinoki-Hinoki-Hinoki-Hinoki-Hinoki,Hinoki,Hinoki,Hinoki,Hinoki,Hinoki,Hinoki,Hinoki
Darker,7P-2A.Carbon,7,88,6.5,Hinoki-Hinoki-Carbone-Hinoki-Carbone-Hinoki-Hinoki,Hinoki,Hinoki,Carbone,Hinoki,Carbone,Hinoki,Hinoki
Darker,5P-2A,5,82,6.5,Hinoki-Tilleul-Hinoki-Tilleul-Hinoki,Hinoki,Tilleul,Hinoki,Tilleul,Hinoki,,
Darker,Esteem,7,80,6.5,Hinoki-Carbone-Saule-Kiri-Saule-Carbone-Hinoki,Hinoki,Carbone,Saule,Kiri,Saule,Carbone,Hinoki
Darker,Speed 90,1,95,9.0,Hinoki,Hinoki,,,,,,
OSP,Virtuoso,5,86,5.8,Limba-Limba-Ayous-Limba-Limba,Limba,Limba,Ayous,Limba,Limba,,
OSP,Virtuoso AC,7,87,5.6,Limba-Limba-Aramide Carbone-Ayous-Aramide Carbone-Limba-Limba,Limba,Limba,Aramide Carbone,Ayous,Aramide Carbone,Limba,Limba
OSP,Ultimate II,7,90,6.0,Limba-Acajou-Ayous-Epicéa-Ayous-Acajou-Limba,Limba,Acajou,Ayous,Epicéa,Ayous,Acajou,Limba
OSP,Martin AC,7,90,5.0,Limba-Aramide Carbone-Limba-Ayous-Limba-Aramide Carbone-Limba,Limba,Aramide Carbone,Limba,Ayous,Limba,Aramide Carbone,Limba
Victas,Koji Matsushita,5,87,5.4,Limba-Epicéa-Ayous-Epicéa-Limba,Limba,Epicéa,Ayous,Epicéa,Limba,,
Victas,Liam Pitchford,7,90,5.9,Limba-Zexion®-Acajou-Ayous-Acajou-Zexion®-Limba,Limba,Zexion®,Acajou,Ayous,Acajou,Zexion®,Limba
