Name;Speed;Control
Butterfly Chinese EX;9.1;8.6
Butterfly Chinese Real;7.7;8.1
Butterfly Chinese Tamca ULC;9;8.4
Butterfly Chuan Chih Yuan;7.3;7.8
Butterfly Clearfield;8.6;7.2
Butterfly Cofferlait Arylate Carbon;8;8.7
Butterfly Coleus;-;-
Butterfly Cresail;8.6;9.1
Butterfly Cryptate;8.3;8.1
Butterfly Cutlass;6.3;8.3
Butterfly Cypress Alpha;-;-
Butterfly Cypress Alpha-R;8;9
Butterfly Cypress G-Max;10;9
Butterfly Cypress JP I-S;-;-
Butterfly Cypress JP II-S;-;-
Butterfly Cypress JP III-S;-;-
Butterfly Cypress Max;9.5;8.8
Butterfly Cypress T-Max S;7;10
Butterfly Cypress V-Max;9;7
Butterfly Cypress-R;8;9
Butterfly Cypress-S;9.3;8.5
Butterfly Defence 2 (II);7.4;9.2
Butterfly Defence 4 (IV);7;10
Butterfly Defence Alpha;4.2;8.8
Butterfly Defence Pro;7.5;7.8
Butterfly Defence X;6.5;7.7
Butterfly Defense 3 (III);-;-
Butterfly Dillfer;8.9;9.5
Butterfly Dimitrij Ovtcharov Innerforce ALC;9.2;9.3
Butterfly Diode;6.8;8.8
Butterfly Diode Pro;6;9.7
Butterfly Diode V;7.2;9.1
Butterfly Djurvall Classic;8.2;10
Butterfly Effort 70th Anniversary;8.5;8.4
Butterfly Ekstaule;-;-
Butterfly Ester;8.8;9
Butterfly Extra Wing;6.3;9
Butterfly Falcima;8.3;9.5
Butterfly Fan Zhendong ALC;8.8;9
Butterfly Fan Zhendong CNF;9;9.7
Butterfly Fan Zhendong Super ALC;9.6;8.1
Butterfly Fan Zhendong Super ZLC;9.7;9.3
Butterfly Fan Zhendong ZLC;9.1;9.6
Butterfly Feth;6.6;8.4
Butterfly Finewood OFF;8;10
Butterfly Finewood Off-;7;7
Butterfly Firehand;9.3;7.1
Butterfly Franziska Innerforce ZLC;8.8;9.6
Butterfly Freitas ALC;8.6;8.3
Butterfly Fukuhara Ai Pro ZLF;8.9;9.5
Butterfly Fukuhara Ai Special;9.2;8.3
Butterfly Garaydia ALC;8.6;9.2
Butterfly Garaydia Alc Blade;-;-
Butterfly Garaydia Revolver-R;-;-
Butterfly Garaydia T5000;9.5;8.8
Butterfly Garaydia ZLC;9.4;8.9
Butterfly Gergely 21;9.4;8.3
Butterfly Gergely Alpha;9.4;8.4
Butterfly Gergely Carbon;9.1;8
Butterfly Gionis Carbon All+;8.2;9.2
Butterfly Gionis Carbon Def;6.7;9.3
Butterfly Gionis Carbon Off;8.4;7.8
Butterfly Grubba Carbon;7.2;7.1
Butterfly Grubba Pro;6.4;9.2
Butterfly Grubba Variant;7.1;8.9
Butterfly Guo Yue;5.5;6.8
Butterfly H.P. Courpierce R;8.8;9.8
Butterfly H.P.Neutrino;-;-
Butterfly H.S. Cryzer;8.6;8.3
Butterfly Hadraw 5;8.5;9.4
Butterfly Hadraw JPV-R;-;-
Butterfly Hadraw JPV-S;-;-
Butterfly Hadraw Revolver-R;7;6
Butterfly Hadraw Shield;6.6;8.9
Butterfly Hadraw SK;7.5;8.5
Butterfly Hadraw SR;7.9;7.2
Butterfly Hadraw VK;8.3;8.9
Butterfly Hadraw VR;9.2;8.2
Butterfly Harimoto Innerforce Super ALC;9.2;9.7
Butterfly Harimoto Innerforce Super ZLC;8.6;9.6
Butterfly Harimoto Innerforce ZLC;8.6;9.5
Butterfly Harimoto Tomokazu Innerforce ALC;8.3;9.1
Butterfly Haruvatart ZL Carbon;9.8;7.9
Butterfly HERMOSO;9;9
Butterfly Hinoki Pen Winner II;-;-
Butterfly Hinoki Shake 5;5.8;9.4
Butterfly Hinoki Shake Speedy;9.3;8.5
Butterfly Hinoki Shake Swift;8;9
Butterfly Holycrown;9;8.5
Butterfly HP Winner;8;7.8
Butterfly Innerforce;-;-
Butterfly Innerforce AL;8.4;9.2
Butterfly Innerforce ALC;8.8;9.1
Butterfly Innerforce Layer AL;8.3;8.8
Butterfly Innerforce Layer ALC;9;9.3
Butterfly Innerforce Layer ALC.S;8.2;9.2
Butterfly Innerforce Layer ZLC;8.8;8.9
Butterfly Innerforce Layer ZLF;7.7;9
Butterfly Innerforce T5000;9.3;8.2
Butterfly Innerforce ULC;9;9
Butterfly Innerforce ZLC;9.1;8.9
Butterfly Innerforce ZLF;9;9.2
Butterfly Innershield Layer ZLF;6.3;9.3
Butterfly Innershield ZLF;6.6;9.3
Butterfly Iolite;9.1;8.4
Butterfly Iolite Neo;9.5;8.5
Butterfly Ishlion;9;8.2
Butterfly Jonyer Hinoki;7.5;8.7
Butterfly Jonyer Hinoki Special;7.6;8.4
Butterfly Joo Se Hyuk;7.3;8.6
Butterfly Jun Mizutani;9.5;8.9
Butterfly Jun Mizutani Super ZLC;9.5;9
Butterfly Jun Mizutani ZLC;9.3;8.8
Butterfly Kazan;7;8
Butterfly Kenny Pro;6.8;8.2
Butterfly Kenta Matsudaira ALC;8.7;9.4
Butterfly Keyshot;8.3;8.8
Butterfly Keyshot Alpha;8.7;8.6
Butterfly Keyshot Light;8.6;8.9
Butterfly Kim Taek Soo;9.6;7.3
Butterfly Kiso Hinoki V;8.1;8.9
Butterfly Kiso Hinoki VII;8.7;8.2
Butterfly Klampar Tamca Carbon 5000;8.9;9.7
Butterfly Kong Linghui;7.9;8.4
Butterfly Kong Linghui Euro;8;8.1
Butterfly Kong Linghui Special;8.4;8.9
Butterfly Korbel MagicHand;8.9;7.9
Butterfly Korbel SK7;8.4;8.5
Butterfly Korbel Speed;7.9;8.2
Butterfly Kreanga Aeros Off+;8.7;8.4
Butterfly Kreanga Carbon;9.3;7.5
Butterfly Kreanga PowerKev Carbon;9.7;9.6
Butterfly Kreanga Powerspin;8.4;7.8
Butterfly Kumpuru;8.4;9.3
Butterfly Lapuhta;10;9.5
Butterfly Lejumu;6.5;7.5
Butterfly Lin Gaoyuan ALC;9.2;8.6
Butterfly Lin Yun-Ju Super ZLC;9.2;9.4
Butterfly Liu Shiwen;9.1;9.5
Butterfly Liu Shiwen ZLF;9.4;9.5
Butterfly Madash;8;7.2
Butterfly Marcos Freitas ALC;8.9;9.5
Butterfly Matsushita Pro;5.9;8.7
Butterfly Matsushita Pro Alpha;7.5;9.5
Butterfly Matsushita Pro Special;7.1;9.4
Butterfly Maze Advance;5.8;9.8
Butterfly Maze Advance 2021;7.9;9.7
Butterfly Maze Magic;9;8.7
Butterfly Maze Passion;7.9;8.9
Butterfly Maze Performance;8.4;8.4
Butterfly Maze T-Tec ALL+;7.6;8.6
Butterfly Maze T-Tec OFF;8.3;9.2
Butterfly Mazunov;8.8;7.7
Butterfly Michael Maze;8.7;8.8
Butterfly Millerga;8.2;8.6
Butterfly Minion ALC;-;-
Butterfly Moonbeam;9.2;6.8
Butterfly Nitchugo Super;8.9;8.3
Butterfly Oh Sang Eun;7.9;8.8
Butterfly Omar Assar;9;9.5
Butterfly Outerforce ALC;7.5;8
Butterfly Outerforce CAF;7;7
Butterfly Outerforce ZLC;9;9.3
Butterfly Ovtcharov S1;8.5;9
Butterfly Ovtcharov S2;8;8.3
Butterfly Peter Korbel Japan Version;8.6;9.1
Butterfly Petr Korbel;8.3;8.8
Butterfly Phalanx;8;10
Butterfly Phalanx II;7.9;8.9
Butterfly Photino;9.4;8.5
Butterfly Photino Light;9.4;8.4
Butterfly Power 7;9;8.4
Butterfly Power Defence;7.3;8
Butterfly Power Drive;8.5;8.6
Butterfly Power Drive II;8.8;8.9
Butterfly Primo Vitesse;8.5;8.4
Butterfly Primorac;7.6;8.8
Butterfly Primorac 2000;8.3;8.4
Butterfly Primorac 2017;7.9;8.2
Butterfly Primorac Carbon TAMCA 5000;9.3;7.6
Butterfly Primorac EX;8.4;9.3
Butterfly Ranunculus;8.8;8.5
Butterfly Redox;7.8;8.2
Butterfly Retriever;7.5;10
Butterfly Revoldia CNF;8.6;9.2
Butterfly Reygundo;8.3;8.5
Butterfly Ryu Seung Min;-;-
Butterfly Ryu Seung Min G Max;9.7;8.7
Butterfly Ryu Seung Min G Max T5000;-;-
Butterfly Ryu Seung Min ZLC Japanese;9;8.6
Butterfly Sardius;9.5;7.2
Butterfly Schlager Aramid Carbon OFF;8.3;9.5
Butterfly Schlager Carbon;9.5;7.4
Butterfly Schlager Carbon Light;9.3;8.4
Butterfly Schlager Inspire;9.6;8.4
Butterfly Schlager Precision;7.6;8.1
Butterfly Scorna;10;10
Butterfly SCS-2000;7.5;7.3
Butterfly SCS-3000;-;-
Butterfly Senkoh 85;7.8;8.3
Butterfly Senkoh 90;9;8.7
Butterfly Senkoh HCK;9;8
Butterfly Senkoh MAX;9.4;8.1
Butterfly Senkoh Special 90;9;9
Butterfly Senkoh Special 92;-;-
Butterfly Senkoh-1;8.3;8.5
Butterfly Senkoh-5;8;9
Butterfly Shamada;-;-
Butterfly SK Carbon;9;9.2
Butterfly SK7 Classic;8.7;8.8
Butterfly Strave OFF;9.4;10
Butterfly Supreme Speed;8.9;7.4
Butterfly Taksim;8.9;8.6
Butterfly Tamaropa;9.5;7
Butterfly Tamca Gergely 5000;9;5
Butterfly Tamca ULC;9;7
Butterfly TB5;8;8
Butterfly TB7;9.1;9.3
Butterfly Tenper Speed;8.5;8
Butterfly Tiago Apolonia ZLC;9.1;9.4
Butterfly Timberfeel OFF-;8;9.1
Butterfly Timbershot Off+;9;8
Butterfly Timbertouch ALL;7.2;9.3
Butterfly Timo Boll;7.6;9.4
Butterfly Timo Boll 30th Anniversary;-;-
Butterfly Timo Boll ALC;9;8.7
Butterfly Timo Boll ALL;7;9.5
Butterfly Timo Boll ALL+;7.8;9.1
Butterfly Timo Boll CAF;8.4;8.5
Butterfly Timo Boll Forte;8.4;8.2
Butterfly Timo Boll OFF-;7.9;8.6
Butterfly Timo Boll Spark;7.6;8.1
Butterfly Timo Boll Spirit;8.6;8.6
Butterfly Timo Boll T5000 Tamca;9.4;8
Butterfly Timo Boll TJ;-;-
Butterfly Timo Boll W5;8.5;9
Butterfly Timo Boll W7;8.9;8.7
Butterfly Timo Boll XXS;8;8.3
Butterfly Timo Boll ZLC;9.3;9.1
Butterfly Timo Boll ZLF;8.8;9.3
Butterfly Tomokazu Innerforce ALC;-;-
Butterfly Viscaria;9;8.8
Butterfly Viscaria Golden;9;9.5
Butterfly Viscaria Light;8.8;8.3
Butterfly Viscaria Super ALC;9.1;9.2
Butterfly VSG-1000;9.4;8.1
Butterfly VSG-2000;8.8;9
Butterfly VSG-3000;8.2;8.4
Butterfly VSG-4000;8;8.2
Butterfly VSG-TWIST I;-;-
Butterfly VSG-TWIST II;8.5;8.8
Butterfly VSG-TWIST III;8.3;8.5
Butterfly VSG-TWIST IV;9.2;7.7
Butterfly Wakaba-An;8;8.4
Butterfly Werner Schlager;-;-
Butterfly XStar;7.2;8.8
Butterfly XStar III;6.5;9.1
Butterfly XStar IV;7.3;9.5
Butterfly XStar V;7;9
Butterfly Yoshida Kaii;8.3;8.6
Butterfly Yoshimura Maharu;-;-
Butterfly Zhang Jike;8.1;7.3
Butterfly Zhang Jike ALC;9;9.3
Butterfly Zhang Jike Super ZLC;9.4;9.3
Butterfly Zhang Jike T5000;9.3;8.2
Butterfly Zhang Jike ZLC;8.8;9
Butterfly Zhang Yining;7.9;8.3
Cornilleau AERO ALL;5.5;9.5
Cornilleau AERO ALL+;9.5;-
Cornilleau AERO OFF;8.6;8.1
Cornilleau Aero OFF+ Soft Carbon;9;8.8
Cornilleau AERO OFF-;8.4;9
Cornilleau Aero Offensive Carbon;-;-
Cornilleau Calderano FOCO OFF+;9.1;9.5
Cornilleau CONQUEST OFF;8.3;9.1
Cornilleau Gatien Absolum OFF+;9.6;7.9
Cornilleau Gatien Crown ALL+;8.1;9.3
Cornilleau Gauzy Quest All+;-;-
Cornilleau Gauzy Quest OFF;9;8.8
Cornilleau GLORY OFF;9.2;8.5
Cornilleau Hinotec ALL+;7.7;7.8
Cornilleau Hinotec OFF;8.2;8.5
Cornilleau Hinotec OFF+ Carbon;9.1;7.8
Cornilleau Hinotec OFF-;7.9;8.6
Cornilleau Hugo Calderano FOCO OFF-;6;6
Cornilleau Hugo Calderano OFF+;8.3;8.4
Cornilleau ORIGIN OFF-;8.5;8.9
Cornilleau PURE CARBON OFF+;9.1;7.7
Cornilleau Simon Gauzy Quest Off;8.4;9.4
Cornilleau VISION SOFT CARBON OFF+;8.8;8
DHS 506 Ma Long;9.2;9.2
DHS Classic (1970s);9;9
DHS Classic 08X;7.8;9
DHS Di-GT 9 Dipper Blackwood;9.2;9
DHS DI-HT;8.4;9.4
DHS Di-RT Dipper Rosewood;9;8.9
DHS Dipper CP Monocarbon;8;8.7
DHS Dipper Di-02;7.4;7.7
DHS Dipper Di-03;7.5;8.8
DHS Dipper Di-13;8.3;8.3
DHS Dipper Di-15;-;-
DHS Dipper Di-16;-;-
DHS Dipper M C10;9.5;7.5
DHS Dipper M SP500;9.5;7.5
DHS Fang Bo All Wood;9.1;9.3
DHS Fang Bo B2X;9.2;9.2
DHS Fang Bo B2x U;9.2;9
DHS Fang Bo Carbon;9.3;9
DHS Fang Bo W968;9;10
DHS Hl5 (3rd Version My2022);9.4;9.5
DHS Hurricane 301;9.1;9.4
DHS Hurricane 301 Z;9;9
DHS Hurricane 301T;9.3;9.4
DHS Hurricane 301X;9;9
DHS Hurricane Bo 2 (Hurricane B2);9.4;9.2
DHS Hurricane H-GY;8.8;9.6
DHS Hurricane H-LG;8;6.5
DHS Hurricane H-LN;8;9
DHS Hurricane H-TP;9.1;8.7
DHS Hurricane H-WH;8.8;8.4
DHS Hurricane H-WL;9.5;8.5
DHS Hurricane H-WN;8.9;8.1
DHS Hurricane Hao;8;8.9
DHS Hurricane Hao 656;8.7;9.3
DHS Hurricane Hao II;8.5;9.6
DHS Hurricane Hao III;9;9.4
DHS Hurricane King;8.6;8.8
DHS Hurricane King 655;8.5;8.7
DHS Hurricane King ACB;9.3;9.7
DHS Hurricane King III;9.3;9.2
DHS Hurricane King Wang Chuqin;9.1;10
DHS Hurricane Long;9.6;9.4
DHS Hurricane Long 2;9.2;9.5
DHS Hurricane Long 3;8.9;9.6
DHS Hurricane Long 5;9.5;9.3
DHS Hurricane Long 5 Golden;9.3;8.6
DHS Hurricane Long 5x;9.7;9.4
DHS Hurricane Ning;9.5;9
DHS Hurricane No.2;7.3;8.3
DHS Hurricane Sun;8;8
DHS Hurricane Xia;9.7;10
DHS Ma Long Balance;7;8
DHS Ma Long Energy;9.3;9.4
DHS Magic C03;7.5;8
DHS Magician M-02;8.2;9.2
DHS Magician M-03;7.3;9.2
DHS Magician M-13;7;7
DHS Neo TG825;9.4;9
DHS PF4 016;-;-
DHS PF4 032;8.5;8.8
DHS PF4 08;7.5;8
DHS PG6X;9;9.3
DHS PG7;8.6;9
DHS PG7 H;9.1;9.8
DHS Power-G 15E;8.5;8.5
DHS Power-G PG12;8.9;8.1
DHS Power-G PG13;8.7;8.5
DHS Power-G PG15;8.9;9.1
DHS Power-G PG2;7.1;8.2
DHS Power-G PG2-L;7.6;8.3
DHS Power-G PG2-S;6;9
DHS Power-G PG3;7.9;8.4
DHS Power-G PG3T;9;9
DHS Power-G PG5;8.4;9.1
DHS Power-G PG5X;8.6;9
DHS Power-G PG7;8.9;8.9
DHS Power-G PG8;7.8;8.2
DHS Power-G PG9;9.1;8.6
DHS Q968;8.7;9.8
DHS Skyline TG7-AL;9.5;8.9
DHS Skyline TG7-BL;7.8;7.5
DHS Skyline TG7-BS;9;9.5
DHS TG 506+;9;9.7
DHS TG 506X;9;8.4
DHS TG-7 CP;9.2;9
DHS TG-7 CP2;8.9;9.1
DHS TG-7 P;9.3;9.5
DHS TG-7 P2;9;-
DHS TG825-L;9.8;8.2
DHS W3010;7.7;9.2
DHS W968 Hurricane Long 5 National;9.4;9.7
DHS Wang Hao Control;7.5;9.5
DHS Wang Hao Special;7;7
DHS Wang Liqin Carbon;9.3;8.2
DHS Wang Liqin Legend;8.7;9.2
DHS Wang Liqin Magic;8.5;9
DHS Wang Liqin Penhold;9.5;8.3
DHS Wind CW-C;9.4;7.4
DHS Wind CW-E;7.9;9
DHS Wind Power 2;9.5;8
DHS Wind SR-A;7.9;9.4
DHS Wind W1030;8.3;9.2
DHS Wind W2010;8;9
DHS Wind W3010;8.5;9.3
Sauer & Troger Firestart;;
Sauer & Troger Unicorn;;
Sauer & Troger black and white;;
Sauer & Troger zeus;;
