Name;Speed;Control
TSP Hino-Carbon Power;9.1;8.5
TSP Hino-Carbon Speed;8.8;8.5
TSP Kanjo Feeling ALL+;6.5;9
TSP Lightness;5.5;8.5
TSP New Spin;9.5;8.5
TSP Phoenix Fire OFF;9.6;8
TSP PURE HINOKI;-;-
TSP Reflex 50 Award ALL;7.6;9.1
TSP Reflex 50 Award OFF;8.4;9
TSP Reflex 50 Award OFF Light;8.5;8
TSP Reflex Allround;7;8
TSP Reflex Offensive;8.5;9.6
TSP Superblade Neo;9.4;9.1
TSP Swat;8.7;9.4
TSP Swat 5PW;6;10
TSP Swat Carbon;8.6;9.5
TSP Swat Power;9.2;9.3
TSP Trinity Carbon;9;9.3
TSP Versal;7.8;8.3
TSP Victas Koji Matsushita;6.5;9.1
Victas Award Offensive;8.3;8.3
Victas Benedikt Duda AFC;-;-
Victas Birmingham 77 - Japanese Penhold;-;-
Victas Black Balsa 3.0;4;9
Victas Black Balsa 5.0;-;-
Victas Black Balsa 7.0;-;-
Victas Black Balsa V 3.0;-;-
Victas Black Balsa V 5.0;-;-
Victas Black Balsa V 7.0;-;-
Victas Dyna Carbon;7;9
Victas Dyna Five Hard;7.3;8
Victas Dyna Five Soft;7.3;9.3
Victas Dyna Seven;8.3;8.5
Victas Dynawood;9;9.5
Victas Dynawood Power;8.5;9.4
Victas Euro Classic ALL+;6;9
Victas Euro Feeling OFF-;8;9.5
Victas Fire Fall AC;9.2;9
Victas Fire Fall FC;8.5;9.3
Victas Fire Fall HC;8.9;9.1
Victas Fire Fall LC;9.1;9.5
Victas Fire Fall SC;-;-
Victas Fire Fall VC;9.4;9.3
Victas Hino-Carbon Power;9.4;9
Victas Hino-Carbon S;-;-
Victas Hino-Carbon SR;-;-
Victas Hinoki-Large;-;-
Victas Koji Matsushita;6.2;9.5
Victas Koji Matsushita 90th Anniversary;-;-
Victas Koji Matsushita Defensive;5.3;9.6
Victas Koji Matsushita Offensive;8.5;9.2
Victas Koji Matsushita Special;7.3;9.4
Victas Koji Matsushita ZC;7.3;9.1
Victas Koki Niwa;9.2;9.1
Victas Koki Niwa Regias;-;-
Victas Koki Niwa Wood;9;9.7
Victas Koki Niwa ZC;9.1;9
Victas Koki Niwa ZC Inner;9.2;8.7
Victas Liam Pitchford;9.2;8.4
